,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada
247,3326,Medianoche,1939,Estados Unidos,Película,7.85,1974,1930
248,3331,Mujeres,1939,Estados Unidos,Película,7.12,1258,1930
249,5952,La fuerza bruta (De ratones y hombres),1939,Estados Unidos,Película,6.83,274,1930
250,6021,Sierra de Teruel,1939,Francia,Película,6.33,627,1930
251,6140,Corazones indomables,1939,Estados Unidos,Película,6.82,1434,1930
252,8745,Posada Jamaica,1939,Reino Unido,Película,6.46,2811,1930
253,8865,Caballero sin espada,1939,Estados Unidos,Película,7.85,12043,1930
254,9147,Amanece (Al despertar el día),1939,Francia,Película,7.23,943,1930
255,9165,El fin del día (Fin de jornada),1939,Francia,Película,7.13,60,1930
256,9777,El perro de los Baskerville,1939,Estados Unidos,Película,6.65,1048,1930
257,9787,Las aventuras de Sherlock Holmes (Sherlock Holmes contra Moriarty),1939,Estados Unidos,Película,6.33,616,1930
258,9992,"Esmeralda, la zíngara",1939,Estados Unidos,Película,7.36,1435,1930
259,10013,La torre de Londres,1939,Estados Unidos,Película,6.11,282,1930
260,10550,El espía negro,1939,Reino Unido,Película,6.5,309,1930
261,532,El signo del Zorro,1940,Estados Unidos,Película,7.05,1440,1940
262,1550,El halcón del mar,1940,Estados Unidos,Película,6.99,5381,1940
263,1690,El puente de Waterloo,1940,Estados Unidos,Película,7.37,1107,1940
264,2015,Historias de Filadelfia,1940,Estados Unidos,Película,8.04,26232,1940
265,2702,Fantasía,1940,Estados Unidos,Película,7.4,28415,1940
266,3309,Luna nueva,1940,Estados Unidos,Película,7.98,10723,1940
267,3333,Mi mujer favorita,1940,Estados Unidos,Película,6.86,1157,1940
268,3754,Pinocho,1940,Estados Unidos,Película,6.82,42589,1940
269,4173,Marianela,1940,España,Película,5.87,297,1940
270,4849,Las uvas de la ira,1940,Estados Unidos,Película,8.3,22619,1940
271,5089,Camino de Santa Fe,1940,Estados Unidos,Película,6.19,1112,1940
272,5272,El desconocido del tercer piso,1940,Estados Unidos,Película,6.13,492,1940
273,5945,El gran McGinty,1940,Estados Unidos,Película,6.97,470,1940
274,6145,Pasión de libertad,1940,Estados Unidos,Película,5.65,57,1940
275,6284,Mando siniestro,1940,Estados Unidos,Película,6.36,403,1940
276,6285,"Oro, amor y sangre",1940,Estados Unidos,Película,6.42,400,1940
277,6732,El gran dictador,1940,Estados Unidos,Película,8.57,84071,1940
278,6974,Al fin solos,1940,Estados Unidos,Película,5.62,407,1940
279,9018,Sin novedad en el Alcázar,1940,Italia,Película,5.6,405,1940
280,9034,El judío eterno,1940,Alemania,Película,5.03,220,1940
281,272,Serenata nostálgica,1941,Estados Unidos,Película,6.66,1368,1940
282,2687,Dumbo,1941,Estados Unidos,Película,6.85,80459,1940
283,3313,Bola de fuego,1941,Estados Unidos,Película,7.88,6219,1940
284,3314,Los viajes de Sullivan,1941,Estados Unidos,Película,7.62,4606,1940
285,3317,Las tres noches de Eva,1941,Estados Unidos,Película,7.49,3392,1940
286,3322,Lo que piensan las mujeres,1941,Estados Unidos,Película,6.77,2462,1940
287,3325,Matrimonio original,1941,Estados Unidos,Película,5.87,2011,1940
288,3366,El diablo burlado,1941,Estados Unidos,Película,6.87,195,1940
289,3370,Cuando ellas se encuentran,1941,Estados Unidos,Película,6.45,53,1940
290,4683,El dragón chiflado,1941,Estados Unidos,Película,5.91,521,1940
291,4894,La loba,1941,Estados Unidos,Película,8.12,6124,1940
292,4965,Murieron con las botas puestas,1941,Estados Unidos,Película,7.27,15548,1940
293,6007,Raza (AKA El espíritu de una raza),1941,España,Película,3.4,1886,1940
294,6298,Belle Starr,1941,Estados Unidos,Película,5.63,127,1940
295,6667,El Hombre Lobo,1941,Estados Unidos,Película,6.33,2390,1940
296,6701,El sargento York,1941,Estados Unidos,Película,7.27,2567,1940
297,7529,¡Qué verde era mi valle!,1941,Estados Unidos,Película,8.18,11383,1940
298,8086,Ciudadano Kane,1941,Estados Unidos,Película,8.17,77150,1940
299,8607,Juan Nadie,1941,Estados Unidos,Película,7.63,6218,1940
300,8669,Lejos de la Niebla,1941,Estados Unidos,Película,6.58,166,1940
301,8856,El halcón maltés,1941,Estados Unidos,Película,7.99,31970,1940
302,9035,Bombarderos en picado,1941,Estados Unidos,Película,5.94,200,1940
