id_peli,titulo,año,pais,tipo,puntuacion,votos
7141,La Liga de la Justicia contra la Liga de Bizarro,2015,Estados Unidos,Película,4.8,340
7142,Bionicle: La Máscara de la Luz - La Película,2003,Estados Unidos,Película,4.5,325
7143,La Liga de la Justicia: El ataque de la Legión del Mal,2015,Estados Unidos,Película,5.1,309
7144,Los Simpson: Un bloque como yo (TV),2014,Estados Unidos,TV,5.94,308
7145,Lego Indiana Jones and the Raiders of the Lost Brick (TV) (TV) (C),2008,Dinamarca,Cortometraje,5.19,253
7146,Lego: Batman fichado (TV),2014,Estados Unidos,TV,5.23,244
7147,Lego DC Comics. La Liga de la Justicia: Fuga de Gotham,2016,Estados Unidos,Película,4.89,235
7148,LEGO DC Super Heroes: La liga de la justicia. La invasión de Brainiac,2016,Estados Unidos,Película,5.13,234
7149,Lego DC Comics Super Heroes: Flash,2018,Estados Unidos,Película,5.31,229
7150,Lego Star Wars: Bombad Bounty (TV) (TV) (C),2010,Dinamarca,Cortometraje,5.09,220
7151,LEGO Marvel Super Heroes: Maximum Overload,2013,Estados Unidos,Película,4.83,219
7152,Lego Star Wars: Las crónicas de Yoda - La amenaza de los Sith (TV),2013,Dinamarca,TV,5.65,212
7153,Lego Star Wars: The Quest for R2-D2 (TV) (TV) (C),2009,Dinamarca,Cortometraje,4.73,211
7154,Lego Star Wars: Revenge of the Brick (C),2005,Estados Unidos,Cortometraje,4.54,190
7155,Lego Star Wars: Las crónicas de Yoda - El clon fantasma (TV),2013,Dinamarca,TV,5.7,188
7156,Lego Star Wars: El Imperio contra todos (TV),2012,Estados Unidos,TV,6.23,185
7157,LEGO Frozen: Luces de invierno (TV),2016,Estados Unidos,TV,4.1,184
7158,The LEGO Story (C),2012,Dinamarca,Cortometraje,5.96,163
7159,LEGO Scooby Doo. Hollywood Encantado,2016,Estados Unidos,Película,4.69,155
7160,Bricks of War (C),2011,Estados Unidos,Cortometraje,5.37,140
7161,Lego Marvel Super Heroes: Avengers Reassembled (TV),2015,Estados Unidos,TV,5.28,139
7162,LEGO Batman vs. Superman (C),2014,Estados Unidos,Cortometraje,4.59,137
7163,The White Stripes: Fell in Love with a Girl (Vídeo musical),2002,Estados Unidos,Vídeo musical,6.32,136
7164,Lego: Las aventuras de Clutch Powers,2010,Estados Unidos,Película,4.72,136
7165,Bionicle 2: Leyendas de Metru Nui,2004,Estados Unidos,Película,5.03,135
7166,Monty Python & the Holy Grail in Lego (C),2001,Reino Unido,Cortometraje,4.6,114
7167,Beyond the Brick: A LEGO Brickumentary,2014,Estados Unidos,Película,6.33,105
7168,Lego Star Wars: Las aventuras de los Freemakers (Serie de TV),2016,Estados Unidos,Serie de TV,5.91,100
7169,Lego Ninjago (Serie de TV),2011,Alemania,Serie de TV,5.02,99
7170,Bionicle: La leyenda renace,2009,Estados Unidos,Película,4.47,98
7171,The LEGO Ghostbusters Movie (C),2014,Estados Unidos,Cortometraje,4.42,98
7172,Lego Scooby-Doo! Fiesta en la playa de Blowout,2017,Estados Unidos,Película,4.64,94
7173,Ninjago: Maestros del Spinjitzu (Miniserie de TV),2011,Dinamarca,Miniserie de TV,4.61,89
7174,Bionicle 3: La red de las sombras,2005,Estados Unidos,Película,5.26,86
7175,LEGO Guardianes de la Galaxia: La amenaza de Thanos (TV),2017,Estados Unidos,TV,4.74,85
7176,The Simpsons LEGO Movie Couch Gag (C),2014,Canadá,Cortometraje,5.19,83
7177,Lego Star Wars: Las crónicas de Yoda - El ataque de los Jedi (TV),2013,Dinamarca,TV,5.62,76
7178,X-Men: Dark Tide (C),2005,Estados Unidos,Cortometraje,3.82,74
7179,LEGO Star Wars: Historias de Droides (Serie de TV),2015,Estados Unidos,Serie de TV,6.19,69
7180,"¡Vamos, equipo Wizard! (C)",2016,Estados Unidos,Cortometraje,5.25,64
7181,LEGO DC: Batman - La Bat-familia importa,2019,Estados Unidos,Película,5.62,63
7182,Action Bill (C),2014,Estados Unidos,Cortometraje,4.26,61
7183,El escritor,2010,Francia,Película,6.79,40320
7184,Animales nocturnos,2016,Estados Unidos,Película,7.12,33399
7185,La novena puerta,1999,Francia,Película,5.75,28177
7186,La ventana secreta,2004,Estados Unidos,Película,6.01,26600
7187,Ruby Sparks,2012,Estados Unidos,Película,6.77,18932
7188,Más extraño que la ficción,2006,Estados Unidos,Película,6.93,16390
7189,El autor,2017,España,Película,6.38,14537
7190,Castle (Serie de TV),2009,Estados Unidos,Serie de TV,6.42,11052
7191,El ciudadano ilustre,2016,Argentina,Película,7.08,10398
7192,La flor de mi secreto,1995,España,Película,6.3,9947
7193,En la boca del miedo,1994,Estados Unidos,Película,6.55,9933
7194,Antes que anochezca,2000,Estados Unidos,Película,6.57,9519
7195,La librería,2017,España,Película,6.21,9477
7196,El ladrón de palabras,2012,Estados Unidos,Película,6.1,9470
7197,Tierras de penumbra,1993,Reino Unido,Película,7.36,7724
7198,Un invierno en la playa,2012,Estados Unidos,Película,6.3,7277
7199,El enigma del cuervo,2012,Estados Unidos,Película,5.57,6644
7200,El Principito,2015,Francia,Película,7.08,5894
7201,Los diarios del ron,2011,Estados Unidos,Película,5.37,5233
7202,El guardián de las palabras,1994,Estados Unidos,Película,5.68,4745
7203,La buena esposa,2017,Reino Unido,Película,6.4,4450
7204,Historia de un crimen,2006,Estados Unidos,Película,6.63,4211
7205,Como en un espejo,1961,Suecia,Película,7.71,4163
7206,Miss Potter,2006,Reino Unido,Película,5.5,3647
7207,Bored to Death (Serie de TV),2009,Estados Unidos,Serie de TV,7.01,3563
7208,"Odette, una comedia sobre la felicidad",2007,Francia,Película,5.76,3492
