id_peli,id_act
4073,12
4182,12
4186,12
4195,12
5160,12
6518,12
7043,12
7473,12
8858,12
9066,12
9353,12
9476,12
10614,12
10808,12
2,13
975,13
1836,13
1887,13
2124,13
2432,13
4836,13
4971,13
5758,13
6731,13
8606,13
8870,13
9179,13
11027,13
2,14
701,14
1336,14
1349,14
1735,14
2114,14
2252,14
2420,14
4836,14
7630,14
8002,14
8101,14
9796,14
10983,14
11312,14
11500,14
2,15
608,15
1132,15
2391,15
3243,15
3373,15
3382,15
3387,15
4066,15
5001,15
5077,15
5092,15
6418,15
6649,15
2,16
508,16
700,16
1083,16
1180,16
1355,16
1614,16
1854,16
1858,16
1944,16
2163,16
2346,16
2546,16
3382,16
3833,16
4275,16
4832,16
5146,16
5154,16
5502,16
6386,16
6411,16
6418,16
6541,16
6861,16
6985,16
7075,16
8613,16
8932,16
9296,16
9947,16
11466,16
2,17
2,18
3770,18
4662,18
6326,18
7537,18
11120,18
2,19
2,20
1101,20
4,21
8604,21
4,22
7849,22
9463,22
9623,22
9635,22
10663,22
4,23
4,24
4856,24
6148,24
4,25
289,25
345,25
2099,25
3388,25
5325,25
6302,25
9366,25
11477,25
4,26
4,27
4,28
4,29
4,30
5,31
240,31
380,31
406,31
963,31
1157,31
1180,31
1363,31
1560,31
1604,31
1786,31
2210,31
2217,31
2417,31
2729,31
2916,31
3255,31
3700,31
6443,31
6676,31
6735,31
7398,31
7481,31
7776,31
7962,31
8328,31
9359,31
9451,31
9454,31
10799,31
10850,31
11157,31
5,32
9,32
56,32
1024,32
1117,32
1791,32
3893,32
4791,32
4913,32
4956,32
6029,32
6163,32
6788,32
6789,32
7552,32
7786,32
7972,32
10893,32
11131,32
5,33
1373,33
1424,33
2203,33
2303,33
2428,33
3390,33
3714,33
4841,33
7042,33
7186,33
8848,33
5,34
389,34
1065,34
1148,34
1180,34
2279,34
3371,34
3460,34
7188,34
7447,34
7485,34
9052,34
9732,34
10971,34
5,35
429,35
2073,35
8855,35
5,36
707,36
982,36
1809,36
3378,36
5492,36
7620,36
9757,36
11219,36
5,37
5,38
1858,38
2111,38
2113,38
3829,38
3899,38
5696,38
5899,38
5910,38
7446,38
7777,38
5,39
9,39
66,39
114,39
323,39
502,39
948,39
951,39
1054,39
1087,39
2117,39
2257,39
2488,39
2530,39
3270,39
3737,39
4801,39
4824,39
6322,39
7184,39
9353,39
9479,39
11160,39
11258,39
11356,39
5,40
1694,40
3380,40
10018,40
10424,40
6,41
6,42
289,42
975,42
978,42
1056,42
1079,42
1080,42
1125,42
1195,42
1608,42
1832,42
1845,42
2072,42
2275,42
2596,42
2619,42
2684,42
3287,42
3296,42
3522,42
3716,42
3724,42
4876,42
4981,42
6731,42
6844,42
7409,42
7910,42
7966,42
8593,42
9170,42
10386,42
10525,42
10559,42
10729,42
11248,42
6,43
48,43
235,43
395,43
2041,43
2211,43
3294,43
3791,43
4797,43
5742,43
6515,43
6700,43
6828,43
7204,43
7413,43
6,44
57,44
106,44
116,44
330,44
776,44
869,44
927,44
1046,44
1478,44
1899,44
2330,44
3386,44
3703,44
3797,44
3882,44
3892,44
4079,44
5123,44
5142,44
5823,44
6651,44
6887,44
7205,44
8874,44
8887,44
9340,44
10530,44
10618,44
6,45
98,45
123,45
592,45
1280,45
1508,45
2235,45
3829,45
4804,45
4958,45
4996,45
5172,45
6456,45
8091,45
8344,45
8848,45
9062,45
11128,45
6,46
1128,46
3755,46
4182,46
4186,46
5150,46
5156,46
5179,46
6218,46
6273,46
8318,46
8647,46
8729,46
8858,46
8870,46
9183,46
9800,46
11026,46
11096,46
6,47
240,47
381,47
